Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us
Downtown Cafe,"North Indian, Mughlai, Continental, Chinese, Beverages, Desserts",4.9,"₹1,600 for two",1.4,"Rakabganj, Agra","Variety of Beer, Authentic Flavors, Vintage Decor"
Pinch Of Spice,"North Indian, Chinese, Continental, Desserts, Beverages, Mughlai",4.5,"₹1,600 for two",3.2,"Tajganj, Agra","Exquisite Taste, Efficient Service, Good Music"
Cosmos Cafe & Bar - Fairfield By Marriott,"Continental, North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",3.4,"₹2,400 for two",2.6,"Civil Lines, Agra","Cafe, Friendly Staff, Extensive Mocktail Menu"
My Bar Headquarters,"North Indian, Chinese, Pizza, Fast Food, Desserts",New,"₹1,200 for two",3.1,"Khandari, Agra","Creative Cuisine, Clean Environment, Vintage Decor"
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,"₹6,000 for two",3.2,"ITC Mughal, Tajganj, Agra","Live Sports Screening, Seasonal Menu, Breakfast"
Pind Balluchi,"North Indian, Mughlai, Chinese, Desserts",3.9,"₹1,100 for two",3.6,"Tajganj, Agra","Perfect Place, Innovative Dishes, Breakfast"
Two Saints Bar & Kitchen,"North Indian, Bar Food, Oriental, Continental, Italian, Chinese, Mexican, Desserts",4.3,"₹1,800 for two",2.4,"Tajganj, Agra","Staff, Ambience, Flavorful Creations"
Urban Deck,"Mexican, Italian, North Indian",4.2,"₹2,200 for two",2.7,"Civil Lines, Agra","Young Crowd, Great Service, Main Course"
The Wok Bar,"Asian, Japanese, Sushi, Thai, Korean, Desserts",4.4,"₹2,400 for two",2.7,"Civil Lines, Agra","Extensive Mocktail Menu, Great for Dates, Vintage Decor"
Ek Number-Twisted Indian Cafe,"Chinese, North Indian, Continental, Mughlai, Italian, Kebab, Desserts, Beverages",3.8,"₹1,200 for two",3.4,"Civil Lines, Agra","Trendy Setting, Well-priced Options, Efficient Service"
Made In Punjab,"North Indian, Mughlai, Biryani, Rolls, Chinese, Desserts, Beverages",4.6,"₹1,300 for two",2.7,"Civil Lines, Agra","Customizable Dishes, Variety of Beer, Cafe"
NU-CLER,"North Indian, Oriental, Asian, Mediterranean, Italian, Biryani, Fast Food",4.3,"₹2,000 for two",1.8,"Civil Lines, Agra","Friendly Staff, Local Sourcing, Great Service"
MoMo Cafe - Courtyard By Marriott,"North Indian, Fast Food, Continental, Beverages, Asian",4.5,"₹3,000 for two",4.8,"Courtyard by Marriott Agra, Tajganj, Agra","Authentic Flavors, Great for Dates, Peaceful Ambience"
Folks Pub,"North Indian, Chinese",4.1,"₹1,400 for two",3.4,"Civil Lines, Agra","Breakfast, Flavorful Creations, Ambiance"
Pind Balluchi,"Mughlai, North Indian",3.9,"₹1,000 for two",6.2,"Sikandra, Agra","Good Bartenders, Brewed Beer, Sustainable Practices"
Thaliwala Pure Veg Restaurant,"North Indian, Chinese, Beverages",3.5,₹800 for two,3.4,"Tajganj, Agra","Ambiance, Quantity, Innovative Dishes"
Beep,"North Indian, Chinese, Continental, Pizza, Pasta",4.4,"₹1,200 for two",2.4,"Rakabganj, Agra","Consistent Quality, Hospitality, Perfect Place"
Djlecious,"Bakery, Desserts, Beverages",4.0,₹400 for two,3.3,"Civil Lines, Agra","Clean Environment, Hospitality, Good Bartenders"
Mama Chicken Mama Franky House,"North Indian, Mughlai, Rolls, Burger, Momos",4.1,"₹1,000 for two",2.2,"Agra Cantt, Agra","Fresh Ingredients, Hospitality, Warm Atmosphere"
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages",3.6,₹500 for two,3.0,"Khandari, Agra","Sustainable Practices, Impeccable Presentation, Seasonal Menu"
La Pino'z Pizza,"Pizza, Pasta, Italian, Fast Food",3.3,₹500 for two,3.1,"Tajganj, Agra","Delicious Food, Young Crowd, Efficient Service"
Momocult,"Momos, Chinese, Fast Food",3.8,₹200 for two,2.7,"Civil Lines, Agra","Variety of Beer, Good Music, Brewed Beer"
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",3.9,"₹1,000 for two",2.4,"Agra Cantt, Agra","Diverse Menu, Brewed Beer, Courteous Staff"
Bistro 57,"Cafe, Pasta, Pizza, Burger, Coffee, Fast Food",3.9,₹600 for two,3.3,"Civil Lines, Agra","Main Course, Well-priced Options, Vintage Decor"
Tease Me - Rooftop Cafe,"Italian, North Indian, Fast Food",4.3,"₹1,500 for two",2.2,"Tajganj, Agra","Perfect Place, Variety of Beer, Well-priced Options"
McDonald's,"Burger, Fast Food, Beverages, Cafe",4.0,₹500 for two,2.7,"Civil Lines, Agra","Customizable Dishes, Local Sourcing, Good Bartenders"
Fat Tiger,"North Indian, Rolls, Momos, Desserts, Shake, Coffee, Beverages",3.6,"₹1,100 for two",3.1,"Civil Lines, Agra","Variety of Beer, Quantity, Extensive Mocktail Menu"
La' Chef Multicuisine Restaurant,"North Indian, Chinese, Kebab, South Indian, Continental, Ice Cream, Beverages",-,"₹1,200 for two",7.2,"Sikandra, Agra","Comfortable Seating, Courteous Staff, Cozy Ambiance"
Lord Of The Drinks,"European, Chinese, North Indian, Italian",4.1,"₹1,800 for two",4.8,"Tajganj, Agra","Warm Atmosphere, Hospitable Staff, Perfect Place"
Ghoomar Traditional Thali Restaurant,"North Indian, Rajasthani",3.3,"₹1,000 for two",4.0,"Khandari, Agra","Ambiance, Vintage Decor, Fresh Ingredients"
Hotel Moti Palace - Pankhuri Restaurant,"North Indian, Chinese, Continental, South Indian, Desserts, Beverages",4.2,"₹1,000 for two",1.4,"Rakabganj, Agra","Delicious Food, Ambiance, Staff"
Dasaprakash,"South Indian, North Indian, Continental, Chinese, Beverages",3.8,₹800 for two,4.8,"Tajganj, Agra","Fresh Ingredients, Great for Dates, Young Crowd"
The Ivory Kitchen,"North Indian, Chinese, Pasta, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,"₹1,100 for two",2.5,"Agra Cantt, Agra","Ambiance, Perfect Place, Authentic Flavors"
Spiced Brew,"Cafe, Continental, Burger, Sandwich, Fast Food, Beverages, Salad, Healthy Food",4.9,₹800 for two,3.6,"Khandari, Agra","Inviting Decor, Seasonal Menu, Attentive Service"
Fat Boys Cafe,"Sandwich, Pizza, Fast Food, Chinese, Momos, Pancake, Shake, Beverages",3.7,₹400 for two,2.3,"Agra Cantt, Agra","Memorable Experience, Sophisticated, Local Sourcing"
Haldiram's,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, Beverages",4.2,₹400 for two,4.0,"Khandari, Agra","Trendy Setting, Creative Cuisine, Sustainable Practices"
Newcastle Cafe & Restaurant,"North Indian, Fast Food, Chinese, Kebab, Sushi, Seafood, Pizza, Pasta",4.4,"₹1,100 for two",5.8,"Sikandra, Agra","Satisfying Portions, Creative Cuisine, Efficient Service"
Food Adda,"Burger, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,₹400 for two,5.4,"Khandari, Agra","Attentive Service, Diverse Menu, Consistent Quality"
The Mud Cafe,"Sandwich, Momos, Burger, Fast Food, Beverages, Desserts",3.3,₹700 for two,2.6,"Civil Lines, Agra","Innovative Dishes, Friendly Staff, Clean Environment"
Raj Rasoi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake",4.2,₹600 for two,2.6,"Civil Lines, Agra","Trendy Setting, Ambience, Brewed Beer"
Sour N Spicy,"North Indian, Chinese, Street Food, Beverages, Desserts",3.9,"₹1,000 for two",2.2,"Tajganj, Agra","Friendly Staff, Quantity, Ambiance"
Bellevue - The Oberoi Amarvilas,"North Indian, Continental, Desserts",4.2,"₹4,500 for two",3.3,"The Oberoi Amarvilas, Tajganj, Agra","Warm Atmosphere, Exquisite Taste, Seasonal Menu"
North 27,"North Indian, Chinese, Continental, Oriental, Fast Food, Mughlai, Beverages, Desserts",4.0,"₹3,800 for two",4.3,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra","Sophisticated, Authentic Flavors, Quantity"
Delhi 6,"North Indian, Street Food",4.1,₹150 for two,2.7,"Civil Lines, Agra","Hospitable Staff, Young Crowd, Peaceful Ambience"
Bhagat Halwai,"Mithai, Street Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages",4.1,₹300 for two,3.3,"Civil Lines, Agra","Well-priced Options, Clean Environment, Ambience"
The Curry Station,"North Indian, Chinese, Mughlai",3.9,₹600 for two,3.2,"Lohamandi, Agra","Efficient Service, Delicious Food, Flavorful Creations"
Chokho Jeeman Marwari Jain Bhojanalya,Rajasthani,4.3,₹400 for two,2.7,"Civil Lines, Agra","Warm Atmosphere, Great for Dates, Quantity"
Hotel Orange,"Chinese, North Indian, Mughlai, Biryani, Desserts, Beverages",4.6,"₹1,200 for two",1.8,"Rakabganj, Agra","Satisfying Portions, Peaceful Ambience, Delicious Food"
Lattice - Grand Mercure (An Accor Hotel),"North Indian, Continental, Chinese",3.9,"₹1,000 for two",3.8,"Crystal Sarovar Premier, Tajganj, Agra","Seasonal Menu, Innovative Dishes, Breakfast"
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",3.9,₹500 for two,2.7,"Civil Lines, Agra","Hospitality, Flavorful Creations, Young Crowd"
Xero Degrees,"Cafe, Coffee, Beverages, Continental, Sandwich, Fast Food, Salad, Waffle",3.2,"₹1,000 for two",3.1,"Khandari, Agra","Delicious Food, Authentic Flavors, Inviting Decor"
Azuri,"North Indian, Chinese, Italian, Fast Food, Juices, Beverages",-,₹700 for two,3.5,"Kamla Nagar, Agra","Seasonal Menu, Live Sports Screening, Quantity"
Sky Train Restaurant,"North Indian, Chinese, Fast Food, Beverages",4.1,₹800 for two,7.0,"Sikandra, Agra","Memorable Experience, Perfect Place, Exquisite Taste"
New Pizza King,"Pizza, Fast Food",3.8,₹500 for two,4.1,"Dayal Bagh, Agra","Local Sourcing, Quantity, Brewed Beer"
UP 80 Resturant,"North Indian, Chinese, South Indian, Fast Food",3.9,₹200 for two,5.8,"Dayal Bagh, Agra","Good Bartenders, Consistent Quality, Clean Environment"
GMB - Gopika Sweets & Restaurant,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai",3.8,₹500 for two,2.7,"Tajganj, Agra","Good Music, Diverse Menu, Cafe"
AAAAR RESTRO,"Pizza, Fast Food",3.3,₹300 for two,3.7,"Kamla Nagar, Agra","Quantity, Flavorful Creations, Variety of Beer"
Aahar,"North Indian, South Indian, Chinese, Bakery, Continental, Desserts, Beverages",4.0,₹700 for two,2.7,"Civil Lines, Agra","Quantity, Consistent Quality, Attentive Service"
Bikaner Express,"North Indian, South Indian, Chinese, Street Food, Beverages",3.5,₹600 for two,3.6,"Kamla Nagar, Agra","Cafe, Ambience, Creative Cuisine"
Achman Foods,"North Indian, South Indian, Street Food, Desserts, Beverages",4.1,₹400 for two,3.7,"Khandari, Agra","Courteous Staff, Customizable Dishes, Fresh Ingredients"
Sheroes Hangout,"North Indian, Chinese, Fast Food",4.7,₹600 for two,4.1,"Tajganj, Agra","Ambiance, Customizable Dishes, Extensive Mocktail Menu"
Deviram Food Circle,"Mithai, Fast Food, Street Food, North Indian, Desserts, Shake",3.9,₹300 for two,7.2,"Sikandra, Agra","Staff, Clean Environment, Exquisite Taste"
Berco's - If You Love Chinese,"Chinese, Thai, Asian",4.3,"₹1,400 for two",2.5,"Civil Lines, Agra","Sustainable Practices, Creative Cuisine, Weekend Brunch"
Pizza Cafe,"Pizza, Fast Food, Street Food, Desserts",New,₹400 for two,4.8,"Kamla Nagar, Agra","Diverse Menu, Hospitality, Flavorful Creations"
Burger Farm,"Burger, Wraps, Fast Food, Beverages",-,₹900 for two,4.3,"Tajganj, Agra","Live Sports Screening, Great Service, Staff"
Capri Restaurant,"North Indian, Mughlai",3.5,₹850 for two,2.7,"Civil Lines, Agra","Flavorful Creations, Good Music, Memorable Experience"
The Mud Shakes,"Beverages, Shake, Waffle, Fast Food",4.1,₹200 for two,2.7,"Khandari, Agra","Main Course, Memorable Experience, Good Music"
Hello Anna,"South Indian, Chinese, Fast Food, Street Food, Ice Cream, Shake",3.0,"₹1,000 for two",6.2,"Sikandra, Agra","Staff, Sustainable Practices, Hospitable Staff"
The Indian Curry,"North Indian, Chinese, Oriental, Continental, Desserts, Beverages",3.9,"₹1,800 for two",3.1,"Kamla Nagar, Agra","Local Sourcing, Seasonal Menu, Perfect Place"
Subway,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",3.9,₹400 for two,3.2,"Civil Lines, Agra","Great Service, Well-priced Options, Diverse Menu"
The Mughal Room - Hotel Clarks Shiraz,"North Indian, Mughlai, Chinese, Beverages, Desserts",4.3,"₹2,600 for two",2.4,"Hotel Clarks Shiraz, Agra Cantt, Agra","Authentic Flavors, Quantity, Consistent Quality"
Taj Terrace - Hotel Taj Resorts,"North Indian, Continental, Chinese, Beverages, Desserts, Shake",4.2,"₹1,000 for two",3.3,"Tajganj, Agra","Young Crowd, Weekend Brunch, Great Service"
Eight Herbs Café,"Cafe, Fast Food, Sandwich, Burger, Pizza, Momos, Waffle, Beverages",-,₹900 for two,2.6,"Civil Lines, Agra","Cozy Ambiance, Breakfast, Quantity"
Fakira,"North Indian, Chinese, Continental, Fast Food, Beverages",4.2,"₹2,200 for two",5.6,"Lohamandi, Agra","Seasonal Menu, Customizable Dishes, Variety of Beer"
The Sky Restaurant,"North Indian, Chinese",3.9,₹800 for two,7.0,"Sikandra, Agra","Sophisticated, Clean Environment, Cafe"
Burger King,"Burger, Fast Food, Beverages",3.8,₹350 for two,4.0,"Khandari, Agra","Good Music, Vintage Decor, Well-priced Options"
Manoj Dhaba,North Indian,3.9,₹500 for two,3.8,"Dayal Bagh, Agra","Friendly Staff, Extensive Mocktail Menu, Warm Atmosphere"
Retro Thrill Cafe,"Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, Beverages",3.9,₹800 for two,5.8,"Sikandra, Agra","Delicious Food, Consistent Quality, Attentive Service"
Pushpak Misthan Bhandar and Sweet,"Mithai, Street Food",4.4,₹100 for two,1.3,"Mantola, Agra","Diverse Menu, Impeccable Presentation, Cafe"
Gopaldas Pethe Wale,"Mithai, Street Food",3.5,₹250 for two,3.5,"Tajganj, Agra","Warm Atmosphere, Ambiance, Clean Environment"
The Waffle Co.,"Waffle, Sandwich, Bakery, Shake, Coffee, Beverages",New,₹400 for two,2.5,"Civil Lines, Agra","Local Sourcing, Great Service, Customizable Dishes"
Henry's The English Pub - Radisson Hotel Agra,"Continental, Fast Food, Desserts",3.9,"₹3,400 for two",4.2,"Radisson Hotel Agra, Tajganj, Agra","Local Sourcing, Breakfast, Perfect Place"
Starbucks Coffee,"Cafe, Coffee, Fast Food",-,₹900 for two,4.3,"Tajganj, Agra","Variety of Beer, Well-priced Options, Main Course"
Deviram Sweets & Restaurant,"Mithai, North Indian, Fast Food, Beverages, Desserts, South Indian",4.2,₹650 for two,1.8,"Rakabganj, Agra","Diverse Menu, Clean Environment, Satisfying Portions"
Sardar G Malai Chaap Junction,"North Indian, Rolls, Momos",3.8,₹300 for two,2.6,"Civil Lines, Agra","Ambience, Authentic Flavors, Hospitable Staff"
Mughal Pavilion - ITC Mughal,"North Indian, Chinese, Continental",4.0,"₹2,500 for two",3.1,"ITC Mughal, Tajganj, Agra","Vintage Decor, Consistent Quality, Cafe"
De Eros Cafe,"Cafe, Coffee",-,₹300 for two,4.9,"Shahganj, Agra","Peaceful Ambience, Attentive Service, Extensive Mocktail Menu"
Manoj Restaurant,"South Indian, Chinese, North Indian",4.1,₹300 for two,0.546,"Mantola, Agra","Well-priced Options, Cozy Ambiance, Memorable Experience"
Merry Go Round,"North Indian, Chinese, Continental, Fast Food",3.0,"₹1,300 for two",4.5,"Hotel Pushp Villa, Tajganj, Agra","Quantity, Flavorful Creations, Customizable Dishes"
Cake Wala,Bakery,3.6,₹300 for two,2.7,"Agra Cantt, Agra","Exquisite Taste, Weekend Brunch, Brewed Beer"
Temptation,"North Indian, Chinese, Fast Food",4.1,"₹1,000 for two",3.8,"Kamla Nagar, Agra","Ambience, Good Bartenders, Ambiance"
Om Restaurant,"North Indian, Beverages",3.6,₹400 for two,2.5,"Agra Cantt, Agra","Customizable Dishes, Hospitable Staff, Clean Environment"
Papa Ji Da Dhaba,North Indian,4.2,₹250 for two,2.7,"Civil Lines, Agra","Great Service, Ambience, Hospitality"
Theobroma,"Bakery, Desserts",-,₹300 for two,3.2,"Khandari, Agra","Quantity, Main Course, Flavorful Creations"
Sarpanch,"North Indian, South Indian, Fast Food, Chinese, Coffee, Ice Cream",-,₹600 for two,2.8,"Civil Lines, Agra","Attentive Service, Quantity, Exquisite Taste"
Dasaprakash - A South Indian Cafe,South Indian,3.3,₹800 for two,2.7,"Tajganj, Agra","Attentive Service, Comfortable Seating, Quantity"
Golden China Restaurant,"Chinese, Rolls, North Indian, Mughlai, Biryani, Italian, Desserts, Beverages",3.7,"₹1,000 for two",3.5,"Tajganj, Agra","Flavorful Creations, Impeccable Presentation, Inviting Decor"
Brijwasi  Sweets & Restaurant,"Mithai, North Indian, South Indian, Fast Food, Shake",3.7,₹350 for two,2.4,"Civil Lines, Agra","Local Sourcing, Cozy Ambiance, Trendy Setting"
Bhoji,"North Indian, Fast Food, Burger, Shake",3.7,₹350 for two,4.0,"Shahganj, Agra","Customizable Dishes, Flavorful Creations, Attentive Service"
The Forest,"North Indian, Italian, Chinese",4.0,₹800 for two,5.5,"Sikandra, Agra","Breakfast, Innovative Dishes, Seasonal Menu"
Chatora Station Restaurant,"North Indian, Chinese, Fast Food, Mughlai",3.9,₹400 for two,5.6,"Gopal Pura, Agra","Main Course, Inviting Decor, Efficient Service"
Udupi Brindavan Vegetarian Restaurant,"South Indian, North Indian, Chinese",-,₹900 for two,3.3,"Kamla Nagar, Agra","Cozy Ambiance, Inviting Decor, Good Bartenders"
Australian Cafe Pizza,"Pizza, Burger, Fast Food",4.2,₹400 for two,3.9,"Shahganj, Agra","Trendy Setting, Satisfying Portions, Cafe"
Chimmanlal Puri Wale,"North Indian, Street Food, Mithai",3.8,₹300 for two,0.417,"Mantola, Agra","Good Bartenders, Staff, Impeccable Presentation"
Infini – The Sky Lounge - Taj Hotel & Convention Centre,"North Indian, Fast Food, Finger Food, Beverages",4.0,"₹2,800 for two",4.3,"Taj Hotel & Convention Centre, Tajganj, Agra","Creative Cuisine, Attentive Service, Comfortable Seating"
Bhagat Halwai,"Mithai, North Indian, Street Food, Fast Food, Beverages",4.0,₹400 for two,4.0,"Shahganj, Agra","Extensive Mocktail Menu, Great for Dates, Fresh Ingredients"
Deepee,"South Indian, Continental, Ice Cream, Beverages, Fast Food",3.7,₹800 for two,1.7,"Rakabganj, Agra","Great for Dates, Inviting Decor, Comfortable Seating"
Wonder Terrace Bar & Kitchen,"North Indian, Continental, Finger Food, Beverages, BBQ",4.0,"₹3,500 for two",4.2,"Radisson Hotel Agra, Tajganj, Agra","Peaceful Ambience, Hospitality, Flavorful Creations"
The Chapter Kitchen,"North Indian, Continental, Oriental, Pizza, Beverages",4.0,"₹1,200 for two",4.0,"Khandari, Agra","Authentic Flavors, Perfect Place, Diverse Menu"
Amritsari Kulcha Junction,"North Indian, Chinese, Rolls, Beverages",3.7,₹500 for two,2.7,"Civil Lines, Agra","Young Crowd, Ambiance, Vintage Decor"
Maikhana – ITC Mughal,Finger Food,4.1,"₹2,000 for two",3.2,"ITC Mughal, Tajganj, Agra","Local Sourcing, Attentive Service, Breakfast"
Masala Handi,"North Indian, Chinese, Fast Food, South Indian, Desserts",3.0,₹400 for two,2.7,"Civil Lines, Agra","Quantity, Sophisticated, Friendly Staff"
Romo's Bistro,"North Indian, Chinese, Fast Food, Momos, Rolls",2.7,₹600 for two,3.6,"Khandari, Agra","Satisfying Portions, Peaceful Ambience, Hospitality"
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,"₹6,000 for two",3.2,"ITC Mughal, Tajganj, Agra","Well-priced Options, Efficient Service, Great for Dates"
Star Ultimate Pizza,"Fast Food, Pasta, Beverages",4.0,₹400 for two,3.3,"Tajganj, Agra","Clean Environment, Inviting Decor, Local Sourcing"
Plush Bar,"Continental, Fast Food",3.9,"₹2,700 for two",4.3,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra","Breakfast, Hospitality, Peaceful Ambience"
Gifi,"Burger, Sandwich, Fast Food, Waffle, Desserts, Shake, Beverages",New,₹300 for two,4.7,"Tajganj, Agra","Courteous Staff, Staff, Sophisticated"
Tealogy,"Beverages, Shake, Sandwich, Fast Food, Street Food",4.6,₹400 for two,2.7,"Civil Lines, Agra","Staff, Friendly Staff, Impeccable Presentation"
Meet N Eat Onwheel,"North Indian, Chinese, Burger, Fast Food",-,₹300 for two,5.9,"Dayal Bagh, Agra","Main Course, Ambience, Attentive Service"
New Agra Fast Food & Restaurant,"North Indian, South Indian",3.7,₹250 for two,3.3,"Tajganj, Agra","Perfect Place, Main Course, Seasonal Menu"
Pizza King,"Pizza, Fast Food",New,₹450 for two,4.1,"Tajganj, Agra","Memorable Experience, Attentive Service, Main Course"
Costa Coffee,"Cafe, Coffee, Beverages, Bakery, Desserts",-,₹800 for two,3.0,"Civil Lines, Agra","Hospitality, Authentic Flavors, Hospitable Staff"
Cremeborne - Ice Creams and Desserts,"Bakery, Waffle, Ice Cream, Coffee, Shake",4.0,₹500 for two,4.4,"Khandari, Agra","Cafe, Friendly Staff, Young Crowd"
Bikanervala,"Mithai, North Indian, Chinese, South Indian, Fast Food, Desserts, Beverages",4.0,₹700 for two,3.5,"Tajganj, Agra","Sustainable Practices, Variety of Beer, Inviting Decor"
Bhagat Halwai,"Mithai, Chinese, South Indian, Street Food, Fast Food, Desserts, Bakery",3.8,₹300 for two,4.5,"Dayal Bagh, Agra","Cozy Ambiance, Local Sourcing, Diverse Menu"
Jain Fast Food & Restaurant,"North Indian, South Indian, Chinese, Fast Food",-,₹450 for two,3.8,"Trans Yamuna, Agra","Sustainable Practices, Cozy Ambiance, Well-priced Options"
C'est Chine - Jaypee Palace Hotel,Chinese,4.4,"₹2,500 for two",4.4,"Jaypee Palace Hotel, Tajganj, Agra","Sophisticated, Satisfying Portions, Creative Cuisine"
Charlly Restaurant & Resort,"South Indian, Pizza, Burger, Chinese, Fast Food, Salad, Desserts, Beverages",New,₹300 for two,12.3,"Shahganj, Agra","Exquisite Taste, Weekend Brunch, Innovative Dishes"
Bread N Mime Cafe,"Cafe, Fast Food, Burger, North Indian, Street Food, Beverages, Desserts",3.9,₹600 for two,4.4,"Tajganj, Agra","Memorable Experience, Staff, Impeccable Presentation"
Shree Ram Poori Wale,"North Indian, Street Food",3.8,₹100 for two,5.2,"Sikandra, Agra","Variety of Beer, Creative Cuisine, Comfortable Seating"
Joney's Place,"Biryani, Fast Food, North Indian, Chinese, Beverages",2.6,₹450 for two,2.4,"Tajganj, Agra","Sophisticated, Good Bartenders, Well-priced Options"
MKOP,"Bakery, Desserts, Street Food, Rolls, Beverages",4.3,₹300 for two,2.7,"Civil Lines, Agra","Consistent Quality, Great for Dates, Variety of Beer"
Hippo's Krates Cafe,"Chinese, Momos, Beverages, Fast Food",4.0,₹600 for two,3.7,"Tajganj, Agra","Hospitality, Great for Dates, Trendy Setting"
Ram Babu Parathe Wale,"North Indian, South Indian, Chinese, Fast Food, Desserts",3.3,₹400 for two,8.7,"Sikandra, Agra","Peaceful Ambience, Courteous Staff, Weekend Brunch"
Agarwal Chat Bhandhar,"Street Food, South Indian",4.1,₹150 for two,4.2,"Agra Cantt, Agra","Fresh Ingredients, Comfortable Seating, Extensive Mocktail Menu"
Bethakk,"Fast Food, Beverages",4.1,₹250 for two,1.3,"Rakabganj, Agra","Authentic Flavors, Warm Atmosphere, Young Crowd"
Al Zameer Restaurant,"North Indian, Mughlai",3.8,₹400 for two,1.9,"Mantola, Agra","Memorable Experience, Peaceful Ambience, Satisfying Portions"
Jai Maa Bhawani Bhojanalya,North Indian,3.0,₹200 for two,4.6,"Trans Yamuna, Agra","Consistent Quality, Innovative Dishes, Exquisite Taste"
Bhagat Halwai,"Mithai, North Indian, Momos, Chinese, Street Food, Pizza, Fast Food",3.0,₹400 for two,7.0,"Sikandra, Agra","Exquisite Taste, Local Sourcing, Comfortable Seating"
Haldiram Food Court,North Indian,3.7,₹200 for two,3.1,"Civil Lines, Agra","Breakfast, Peaceful Ambience, Young Crowd"
Nazeer Foods,"North Indian, Fast Food, Biryani",3.0,₹500 for two,2.8,"Civil Lines, Agra","Innovative Dishes, Good Bartenders, Exquisite Taste"
Pizza Delight Cafe And Restaurant,"Pizza, Fast Food",3.6,₹250 for two,6.3,"Trans Yamuna, Agra","Sustainable Practices, Cafe, Warm Atmosphere"
Red Chilli Cafe & Restaurant,"North Indian, Chinese, Street Food, Mughlai, South Indian, Fast Food, Beverages, Desserts",3.5,"₹1,400 for two",2.4,"Agra Cantt, Agra","Friendly Staff, Comfortable Seating, Creative Cuisine"
Maple Restaurant,"North Indian, Chinese, Rolls, Fast Food",3.5,₹500 for two,4.0,"Tajganj, Agra","Attentive Service, Great for Dates, Consistent Quality"
